player,club,cost,pos,sel%,form,pts
M.Salah,Liverpool,14.5,MID,53.30%,0,344
Mbeumo,Man Utd,8,MID,15.30%,0,236
Palmer,Chelsea,10.5,MID,60.60%,0,214
Isak,Newcastle,10.5,FWD,14.60%,0,211
Wood,Nott'm Forest,7.5,FWD,13.80%,0,200
Bowen,West Ham,8,FWD,18.60%,0,193
Watkins,Aston Villa,9,FWD,24.10%,0,186
Wissa,Brentford,7.5,FWD,5.20%,0,185
Luis Díaz,Liverpool,8,MID,0.30%,0,183
Haaland,Man City,14,FWD,23.10%,0,181
Cunha,Man Utd,8,MID,8.80%,0,178
B.Fernandes,Man Utd,9,MID,20.40%,0,174
Semenyo,Bournemouth,7,MID,5.30%,0,165
Rogers,Aston Villa,7,MID,11.10%,0,161
J.Murphy,Newcastle,6.5,MID,2.80%,0,159
Kluivert,Bournemouth,7,MID,2.10%,0,158
Pickford,Everton,5.5,GKP,12.00%,0,158
Iwobi,Fulham,6.5,MID,1.70%,0,156
Gibbs-White,Nott'm Forest,7.5,MID,5.30%,0,154
Gvardiol,Man City,6,DEF,16.40%,0,153
Elanga,Newcastle,7,MID,9.20%,0,153
Trossard,Arsenal,7,MID,0.70%,0,152
Mateta,Crystal Palace,7.5,FWD,9.00%,0,150
Sels,Nott'm Forest,5,GKP,20.70%,0,150
Schade,Brentford,7,MID,0.70%,0,149
Sarr,Crystal Palace,6.5,MID,5.40%,0,149
Eze,Crystal Palace,7.5,MID,10.40%,0,148
Raúl,Fulham,6.5,FWD,2.30%,0,147
Mitoma,Brighton,6.5,MID,7.00%,0,145
Milenković,Nott'm Forest,5.5,DEF,10.10%,0,145
Strand Larsen,Wolves,6.5,FWD,5.20%,0,145
Virgil,Liverpool,6,DEF,23.70%,0,143
Szoboszlai,Liverpool,6.5,MID,2.10%,0,143
Raya,Arsenal,5.5,GKP,17.00%,0,142
Muñoz,Crystal Palace,5.5,DEF,9.00%,0,142
Johnson,Spurs,7,MID,3.50%,0,137
Enzo,Chelsea,6.5,MID,3.70%,0,135
Henderson,Crystal Palace,5,GKP,6.50%,0,135
Bruno G.,Newcastle,6.5,MID,1.70%,0,135
Kerkez,Liverpool,6,DEF,7.80%,0,134
Cucurella,Chelsea,6,DEF,18.80%,0,133
Maddison,Spurs,7,MID,0.80%,0,133
Delap,Chelsea,6.5,FWD,4.40%,0,132
Damsgaard,Brentford,6,MID,1.20%,0,131
Saliba,Arsenal,6,DEF,13.40%,0,130
Barnes,Newcastle,6.5,MID,0.60%,0,130
Murillo,Nott'm Forest,5.5,DEF,6.10%,0,130
Amad,Man Utd,6.5,MID,3.30%,0,129
Son,Spurs,8.5,MID,0.80%,0,129
Evanilson,Bournemouth,7,FWD,2.10%,0,128
Aina,Nott'm Forest,5,DEF,16.10%,0,128
Saka,Arsenal,10,MID,17.40%,0,127
Rice,Arsenal,6.5,MID,7.60%,0,127
Collins,Brentford,5,DEF,1.90%,0,127
Gakpo,Liverpool,7.5,MID,6.70%,0,127
Sánchez,Chelsea,5,GKP,22.00%,0,126
João Pedro,Chelsea,7.5,FWD,55.40%,0,126
Souček,West Ham,6,MID,1.00%,0,126
Martinelli,Arsenal,7,MID,1.50%,0,125
Welbeck,Brighton,6.5,FWD,5.40%,0,125
Aït-Nouri,Man City,6,DEF,20.80%,0,125
Gordon,Newcastle,7.5,MID,1.60%,0,124
Mitchell,Crystal Palace,5,DEF,1.20%,0,123
Mac Allister,Liverpool,6.5,MID,1.60%,0,122
Tielemans,Aston Villa,6,MID,2.20%,0,121
N.Jackson,Chelsea,6.5,FWD,0.10%,0,121
Mykolenko,Everton,5,DEF,1.70%,0,121
Madueke,Arsenal,7,MID,1.40%,0,120
Onana,Man Utd,5,GKP,0.10%,0,120
Schär,Newcastle,5.5,DEF,2.50%,0,118
Wan-Bissaka,West Ham,4.5,DEF,28.00%,0,118
Gabriel,Arsenal,6,DEF,19.20%,0,117
Kulusevski,Spurs,6.5,MID,0.00%,0,117
Ødegaard,Arsenal,8,MID,3.30%,0,116
Guéhi,Crystal Palace,4.5,DEF,13.20%,0,116
Leno,Fulham,5,GKP,1.70%,0,115
Burn,Newcastle,5,DEF,3.40%,0,115
J.Timber,Arsenal,5.5,DEF,2.30%,0,114
Lacroix,Crystal Palace,5,DEF,1.10%,0,114
Ndiaye,Everton,6.5,MID,13.10%,0,114
Smith Rowe,Fulham,6,MID,1.10%,0,114
A.Becker,Liverpool,5.5,GKP,11.10%,0,112
Martinez,Aston Villa,5,GKP,0.50%,0,111
O.Dango,Bournemouth,6,MID,0.20%,0,111
Ederson M.,Man City,5.5,GKP,3.50%,0,111
Bernardo,Man City,6.5,MID,0.80%,0,110
Colwill,Chelsea,5,DEF,0.90%,0,109
Kovačić,Man City,6,MID,0.00%,0,109
N.Williams,Nott'm Forest,5,DEF,9.20%,0,109
Solanke,Spurs,7.5,FWD,5.70%,0,108
